product,utc,point,box_mean,box_max,unit
MultiSensor_QPE_01H_Pass2,2026-04-17T15:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T16:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T17:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T20:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T04:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T06:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T07:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T08:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T09:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T10:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T11:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T12:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T13:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T14:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T15:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T16:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T17:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-18T20:00:00Z,0.00,0.00,0.00,mm
